keyword,aliases,pronunciation,old_term,new_term,english,description,clinical_feature,related_disease,related_assessment,tool_used,evaluation_method,normal_rom,mmt_grade,normal_value,score_interpretation,cutoff_value,measurement_position,related_special_test,related_exercise,exercise_protocol,clinical_use,clinical_tip
Lachman test,"lachman test,라크만,라크만 테스트,ACL 검사","라크만","","라크만 검사","Lachman Test","라크만 검사(Lachman Test)는 전방십자인대(anterior cruciate ligament, ACL)의 안정성을 평가하는 대표적인 검사로 무릎관절 20~30° 굽힘 상태에서 정강뼈(tibia)의 앞쪽 이동과 끝느낌(end feel)을 평가함.","무릎 불안정성, giving way, 전방 흔들림","전방십자인대 손상","Lachman test","침상|검사자 손","무릎관절 20~30° 굽힘 상태에서 넙다리뼈(femur)를 고정하고 정강뼈를 앞쪽으로 당김","무릎관절 굽힘 20~30°","","정상 전방 안정성","양성: 앞쪽 이동 증가 및 soft end feel|음성: firm end feel 유지","soft end feel 시 ACL 손상 의심","바로누운자세(Supine)","Anterior drawer|Pivot shift","무릎 안정화 운동","통증 감소→관절가동범위 회복→근력강화","ACL 손상 평가","반드시 반대측과 비교"
McMurray test,"mcmurray test,맥머레이,맥 머레이,반달연골검사","맥머레이","","맥머레이 검사","McMurray Test","맥머레이 검사(McMurray Test)는 반달연골(meniscus) 손상 여부를 평가하는 검사로 무릎관절 굽힘 상태에서 정강뼈 회전과 폄을 적용하여 클릭음(clicking)과 통증 여부를 확인함.","무릎 잠김(locking), 클릭음, 관절선 통증","반달연골 손상","McMurray test","침상|검사자 손","무릎관절 최대 굽힘 상태에서 정강뼈를 돌리며 폄 시행","무릎관절 굽힘 135°","","정상 무릎 움직임","양성: 클릭음 및 통증 발생|음성: 통증 및 클릭 없음","locking 또는 클릭 발생 시 양성","바로누운자세(Supine)","Apley test|Thessaly test","관절가동운동","통증 감소→관절가동범위 회복→근력강화","반달연골 손상 평가","관절선 압통 여부 확인"
Anterior drawer,"anterior drawer,anterior drawer test,전방전위검사,앞당김검사","앤테리어 드로어","","전방 전위 검사","Anterior Drawer Test","전방 전위 검사(Anterior Drawer Test)는 전방십자인대(anterior cruciate ligament, ACL)의 손상 여부를 평가하는 검사로 무릎관절 90° 굽힘 상태에서 정강뼈의 앞쪽 이동 정도를 평가함.","무릎 흔들림, 전방 불안정성","전방십자인대 손상","Anterior drawer","침상|검사자 손","무릎관절 90° 굽힘 상태에서 정강뼈를 앞쪽으로 당김","무릎관절 굽힘 90°","","정상 전방 안정성","양성: 정강뼈 앞쪽 이동 증가|음성: 안정적 유지","반대측 대비 이동 증가 시 양성","바로누운자세(Supine)","Lachman test|Pivot shift","무릎 안정화 운동","관절가동범위 회복→근력강화","ACL 보조 평가","뒤넙다리근 긴장 시 위음성 가능"
Posterior drawer,"posterior drawer,posterior drawer test,후방전위검사,뒤당김검사","포스테리어 드로어","","후방 전위 검사","Posterior Drawer Test","후방 전위 검사(Posterior Drawer Test)는 후방십자인대(posterior cruciate ligament, PCL) 손상 여부를 평가하는 검사로 무릎관절 90° 굽힘 상태에서 정강뼈의 뒤쪽 이동 정도를 평가함.","무릎 후방 불안정성","후방십자인대 손상","Posterior drawer","침상|검사자 손","무릎관절 90° 굽힘 상태에서 정강뼈를 뒤쪽으로 밀기","무릎관절 굽힘 90°","","정상 후방 안정성","양성: 정강뼈 뒤쪽 이동 증가|음성: 정상 정렬","Posterior sag sign 동반 시 의심","바로누운자세(Supine)","Posterior sag sign","무릎 안정화 운동","통증 감소→관절가동범위 회복→근력강화","PCL 손상 평가","정강뼈 초기 위치 확인"
Valgus stress test,"valgus stress test,외반스트레스검사,MCL 검사","밸거스","","외반 스트레스 검사","Valgus Stress Test","외반 스트레스 검사(Valgus Stress Test)는 안쪽곁인대(medial collateral ligament, MCL)의 안정성을 평가하는 검사로 무릎관절 0° 및 30° 굽힘 상태에서 무릎 안쪽 구조의 벌어짐과 통증을 평가함.","무릎 안쪽 통증, 불안정성","안쪽곁인대 손상","Valgus stress test","침상|검사자 손","무릎관절 0°와 30° 굽힘 상태에서 가쪽 방향 힘을 적용","무릎관절 굽힘 0°|30°","","정상 내측 안정성","양성: 안쪽 벌어짐 또는 통증|음성: 안정적","30°에서 양성 시 MCL 손상 의심","바로누운자세(Supine)","Lachman test","무릎 안정화 운동","보호→관절가동범위 회복→근력강화","MCL 손상 평가","양측 비교 필수"
Varus stress test,"varus stress test,내반스트레스검사,LCL 검사","배러스","","내반 스트레스 검사","Varus Stress Test","내반 스트레스 검사(Varus Stress Test)는 가쪽곁인대(lateral collateral ligament, LCL)의 안정성을 평가하는 검사로 무릎관절 0° 및 30° 굽힘 상태에서 무릎 가쪽 구조의 벌어짐과 통증을 평가함.","무릎 가쪽 통증, 불안정성","가쪽곁인대 손상","Varus stress test","침상|검사자 손","무릎관절 0°와 30° 굽힘 상태에서 안쪽 방향 힘을 적용","무릎관절 굽힘 0°|30°","","정상 가측 안정성","양성: 가쪽 벌어짐 또는 통증|음성: 안정적","30°에서 양성 시 LCL 손상 의심","바로누운자세(Supine)","Dial test","무릎 안정화 운동","보호→관절가동범위 회복→근력강화","LCL 손상 평가","반드시 양측 비교"
SLR,"slr,SLR,straight leg raise,하지직거상검사,다리들기검사","에스엘알","","하지 직거상 검사","Straight Leg Raise","하지 직거상 검사(Straight Leg Raise)는 허리뼈 추간판탈출증(lumbar disc herniation)과 좌골신경(sciatic nerve) 긴장 여부를 평가하는 검사로 무릎을 편 상태에서 다리를 들어 방사통(radicular pain)을 확인함.","방사통, 저림, 좌골신경통","허리뼈 추간판탈출증|허리통증","SLR","침상|검사자 손","무릎관절 폄 상태에서 엉덩관절 굽힘 시행","엉덩관절 굽힘 70~90°","","정상 하지 거상 가능","양성: 30~70° 사이 방사통 발생|음성: 단순 뒤넙다리근 긴장","30~70° 방사통 시 신경 압박 의심","바로누운자세(Supine)","Crossed SLR","신경가동술|맥켄지 운동","통증 감소→신경가동성 회복","신경 압박 평가","통증 위치와 방사 양상 기록"
Spurling test,"spurling test,스펄링 테스트,경추 압박 검사","스펄링","","스펄링 검사","Spurling Test","스펄링 검사(Spurling Test)는 목신경뿌리병증(cervical radiculopathy)을 평가하는 검사로 목뼈를 폄, 가쪽굽힘 상태에서 축성 압박(axial compression)을 적용하여 방사통 유무를 확인함.","위팔 방사통, 저림, 감각 이상","목신경뿌리병증","Spurling test","검사자 손","목뼈 폄 및 가쪽굽힘 후 머리 축성 압박 적용","목뼈 돌림 80°","","정상 목 움직임","양성: 위팔 방사통 유발|음성: 단순 목 통증","방사통 재현 시 양성","앉은자세(Sitting)","Distraction test","신경가동술|목 안정화 운동","통증 감소→자세교정","목신경 압박 평가","과도한 압박 금지"
Neer test,"neer test,니어 테스트,어깨충돌검사","니어","","니어 검사","Neer Test","니어 검사(Neer Test)는 어깨충돌증후군(impingement syndrome)을 평가하는 검사로 어깨뼈를 고정한 상태에서 어깨관절을 수동 벌림 및 굽힘하여 통증 여부를 평가함.","painful arc, 어깨 앞가쪽 통증","어깨충돌증후군|회전근개 파열","Neer test","검사자 손","어깨뼈 고정 후 어깨관절 수동 굽힘 시행","어깨관절 굽힘 180°","","정상 어깨 움직임","양성: 어깨 앞가쪽 통증|음성: 통증 없음","통증 재현 시 양성","앉은자세(Sitting)","Hawkins-Kennedy|Empty can","관절가동운동|회전근개 강화 운동","통증 감소→관절가동범위 회복","충돌증후군 평가","painful arc 확인"
Hawkins-Kennedy,"hawkins kennedy,hawkins-kennedy,호킨스 케네디 검사","호킨스","","호킨스-케네디 검사","Hawkins-Kennedy Test","호킨스-케네디 검사(Hawkins-Kennedy Test)는 어깨충돌증후군을 평가하는 검사로 어깨관절 90° 굽힘과 팔꿉관절 굽힘 상태에서 강제 안쪽돌림을 적용하여 통증 여부를 평가함.","어깨 앞쪽 통증, impingement pain","어깨충돌증후군|회전근개 파열","Hawkins-Kennedy","검사자 손","어깨관절 90° 굽힘 상태에서 강제 안쪽돌림 적용","어깨관절 굽힘 90°","","정상 안쪽돌림 가능","양성: 앞쪽 어깨 통증 유발|음성: 통증 없음","통증 유발 시 양성","앉은자세(Sitting)","Neer test","회전근개 강화 운동","통증 감소→견갑 안정화","견봉밑 충돌 평가","무리한 안쪽돌림 금지"
Empty can,"empty can,empty can test,jobe test,조브 테스트,빈캔검사","엠티캔","","빈 캔 검사","Empty Can Test","빈 캔 검사(Empty Can Test)는 가시위근(Supraspinatus)의 기능과 회전근개 손상 여부를 평가하는 검사로 어깨관절 90° 벌림, 30° 수평모음 상태에서 엄지를 아래 방향으로 향하게 한 뒤 저항을 적용함.","어깨 벌림 약화, painful arc, 어깨 통증","회전근개 파열|어깨충돌증후군","MMT|ROM","검사자 손","어깨관절 90° 벌림 및 30° 수평모음 상태에서 아래 방향 저항 적용","어깨관절 벌림 90°","","정상 벌림 근력 유지","양성: 통증 또는 근력 약화|음성: 정상 저항 유지","벌림 초기 약화 시 가시위근 손상 의심","앉은자세(Sitting)","Drop arm|Neer test","회전근개 강화 운동|Scaption 운동","관절가동범위 회복→근활성화→저항운동","가시위근 기능 평가","상부 등세모근 보상 여부 확인"
Drop arm,"drop arm,drop arm test,드롭암 테스트,팔떨구기검사","드롭암","","팔 떨어뜨리기 검사","Drop Arm Test","팔 떨어뜨리기 검사(Drop Arm Test)는 회전근개 특히 가시위근(Supraspinatus)의 파열 여부를 평가하는 검사로 어깨관절을 완전히 벌린 상태에서 천천히 내리도록 하여 조절 능력을 평가함.","벌림 약화, 어깨 통증, 팔 떨어짐","회전근개 파열","MMT|ROM","검사자 손","어깨관절 벌림 상태에서 천천히 팔 내리기","어깨관절 벌림 180°","","정상 벌림 조절 가능","양성: 팔이 갑자기 떨어짐|음성: 천천히 조절 가능","갑작스러운 drop 발생 시 양성","앉은자세(Sitting)","Empty can","회전근개 강화 운동","통증 감소→관절가동범위 회복→근력강화","회전근개 파열 평가","통증과 근력저하 함께 확인"
Lift-off,"lift off,lift-off,lift off test,리프트오프 검사,견갑하근 검사","리프트오프","","리프트 오프 검사","Lift-off Test","리프트 오프 검사(Lift-off Test)는 어깨밑근(Subscapularis)의 기능을 평가하는 검사로 손등을 허리에 위치한 상태에서 손을 등 뒤에서 떼어낼 수 있는지 확인함.","안쪽돌림 약화, 어깨 앞쪽 통증","어깨밑근 손상|회전근개 파열","MMT|ROM","검사자 손","손등을 허리에 둔 상태에서 뒤쪽으로 손 들어올리기","어깨관절 안쪽돌림 70°","","정상 안쪽돌림 유지","양성: 손을 떼지 못함|음성: 정상 수행 가능","손 이탈 실패 시 양성","선자세(Standing)","Belly press","안쪽돌림 강화 운동","관절가동범위 회복→근력강화","어깨밑근 기능 평가","몸통 기울임 보상 확인"
Belly press,"belly press,belly press test,벨리 프레스 검사","벨리프레스","","배 누르기 검사","Belly Press Test","배 누르기 검사(Belly Press Test)는 어깨밑근(Subscapularis)의 기능을 평가하는 검사로 손바닥으로 복부를 누르는 동안 팔꿉관절 위치와 안쪽돌림 유지 능력을 평가함.","안쪽돌림 약화, 어깨 앞쪽 통증","어깨밑근 손상|회전근개 파열","MMT|ROM","검사자 손","손바닥으로 복부를 누르며 팔꿉관절 위치 확인","어깨관절 안쪽돌림 70°","","정상 안쪽돌림 유지","양성: 팔꿉관절 후방 유지 실패|음성: 정상 자세 유지","팔꿉관절이 앞쪽 이동 시 양성","선자세(Standing)","Lift-off","안쪽돌림 강화 운동","관절가동범위 회복→근력강화","어깨밑근 기능 평가","손목 굽힘 보상 여부 확인"
Trendelenburg,"trendelenburg,trendelenburg test,트렌델렌버그 검사,골반처짐검사","트렌델렌버그","","트렌델렌버그 검사","Trendelenburg Test","트렌델렌버그 검사(Trendelenburg Test)는 중간볼기근(Gluteus medius)의 기능과 골반 안정성을 평가하는 검사로 한쪽 다리 지지 시 반대측 골반 하강 여부를 확인함.","골반 처짐, 보행 이상, 체중지지 불안정","중간볼기근 약화|보행장애","MMT","관찰|검사자 손","한쪽 다리로 선 상태에서 골반 높이 관찰","엉덩관절 벌림 45°","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","양성: 반대측 골반 하강|음성: 골반 수평 유지","골반 하강 시 중간볼기근 약화 의심","선자세(Standing)","Single leg stance","엉덩벌림 강화 운동","근력강화→보행교정","중간볼기근 기능 평가","몸통 기울임 보상 확인"
Thomas test,"thomas test,토마스 테스트,장요근 검사,고관절 굽힘 구축 검사","토마스","","토마스 검사","Thomas Test","토마스 검사(Thomas Test)는 엉덩허리근(Iliopsoas)의 단축과 엉덩관절 굽힘 구축 여부를 평가하는 검사로 한쪽 엉덩관절을 최대 굽힘한 상태에서 반대측 넙다리 들림 여부를 확인함.","엉덩관절 굽힘 구축, 허리 과앞굽음, 골반 앞기울임","엉덩허리근 단축|허리통증","ROM","침상|검사자 손","한쪽 엉덩관절 최대 굽힘 후 반대측 다리 위치 확인","엉덩관절 폄 20°","","정상 엉덩관절 폄 유지","양성: 반대측 넙다리 상승|음성: 다리가 침상 유지","넙다리 상승 시 엉덩허리근 단축 의심","바로누운자세(Supine)","Modified Thomas test","엉덩굽힘근 스트레칭","유연성 회복→자세교정","엉덩관절 구축 평가","허리 과앞굽음 동반 여부 확인"
Ober test,"ober test,오버 테스트,장경인대 검사","오버","","오버 검사","Ober Test","오버 검사(Ober Test)는 장경인대(iliotibial band, IT band)와 넙다리근막긴장근(tensor fasciae latae)의 단축 여부를 평가하는 검사로 옆누운자세에서 엉덩관절 벌림 후 모음을 적용하여 다리 하강 여부를 평가함.","가쪽 무릎 통증, 엉덩관절 긴장","장경인대 증후군","ROM","침상|검사자 손","옆누운자세에서 엉덩관절 벌림 후 수동 모음 시행","엉덩관절 모음 30°","","정상 모음 범위 유지","양성: 다리가 떨어지지 않음|음성: 자연스럽게 하강","다리 하강 제한 시 양성","옆누운자세(Side lying)","Thomas test","장경인대 스트레칭","유연성 회복→기능훈련","장경인대 단축 평가","골반 회전 보상 확인"
Finkelstein,"finkelstein,finkelstein test,핀켈스타인 검사,드퀘르벵 검사","핀켈스타인","","핀켈스타인 검사","Finkelstein Test","핀켈스타인 검사(Finkelstein Test)는 드퀘르벵 증후군(De Quervain syndrome)을 평가하는 검사로 엄지를 손안에 넣고 주먹을 쥔 상태에서 손목관절 자쪽치우침(ulnar deviation)을 적용하여 통증 여부를 평가함.","노쪽 손목 통증, 엄지 움직임 통증","드퀘르벵 증후군","Finkelstein test","검사자 손","엄지를 손안에 넣고 손목관절 자쪽치우침 적용","손목관절 자쪽치우침 30°","","정상 손목 움직임 유지","양성: 노쪽 손목 통증|음성: 통증 없음","통증 재현 시 양성","앉은자세(Sitting)","Eichhoff test","손목관절 가동운동","통증 감소→기능 회복","손목 힘줄 염증 평가","강한 자쪽치우침 주의"
Phalen,"phalen,phalen test,팔렌 테스트,손목굴증후군 검사","팔렌","","팔렌 검사","Phalen Test","팔렌 검사(Phalen Test)는 손목굴증후군(carpal tunnel syndrome)을 평가하는 검사로 손목관절 최대 굽힘 자세를 유지하여 정중신경(median nerve) 증상 유발 여부를 확인함.","손 저림, 감각 이상, 야간통","손목굴증후군","Phalen test","타이머|검사자 손","손목관절 최대 굽힘 자세를 약 60초 유지","손목관절 굽힘 80°","","60초 유지 가능","양성: 정중신경 영역 저림|음성: 증상 없음","60초 내 증상 발생 시 양성","앉은자세(Sitting)","Tinel sign","신경가동술|손목 스트레칭","통증 감소→신경가동성 회복","손목굴증후군 평가","야간 증상 여부 확인"
Tinel,"tinel,tinel sign,티넬 징후,신경 타진 검사","티넬","","티넬 징후","Tinel Sign","티넬 징후(Tinel Sign)는 말초신경 압박 또는 신경 재생 여부를 평가하는 검사로 신경 주행 경로를 가볍게 두드려 저림 또는 방사 증상 유발 여부를 확인함.","저림, 감각 이상, 방사통","손목굴증후군|주관증후군","Tinel sign","반사망치|검사자 손","신경 주행 부위를 가볍게 타진(tapping)","","","정상 감각 유지","양성: 저림 또는 방사통 유발|음성: 증상 없음","증상 재현 시 양성","앉은자세(Sitting)","Phalen test","신경가동술","통증 감소→감각 회복","말초신경 압박 평가","강한 타진 금지"
Stroke,"stroke,CVA,cerebrovascular accident,중풍,뇌졸중,스트록","스트록","중풍","뇌졸중","Stroke","뇌졸중(Stroke)은 뇌혈관(cerebral vessel)의 폐색 또는 파열로 인해 뇌 조직 손상이 발생하는 신경계 질환으로 허혈성 뇌졸중(ischemic stroke)과 출혈성 뇌졸중(hemorrhagic stroke)으로 구분됨. 운동기능, 감각, 언어, 인지 기능 저하가 발생할 수 있음.","편마비, 감각 저하, 균형 장애, 언어장애, 삼킴장애","허혈성 뇌졸중|출혈성 뇌졸중","NIHSS|MMT|ROM|MAS|BBS","반사망치|고니오미터|검사자 손","신경학적 검사 및 기능 평가 시행","","0 No contraction|1 Trace|2 Poor|3 Fair|4 Good|5 Normal","","NIHSS 높을수록 중증도 증가","NIHSS 5점 이상 시 기능 손상 가능성 증가","바로누운자세(Supine)|앉은자세(Sitting)","Babinski sign|Clonus","보행훈련|균형훈련|과제지향훈련","급성기 안정→ROM→체중지지→기능훈련","신경계 재활 평가","어깨 아탈구 및 구축 예방 중요"
Ischemic stroke,"ischemic stroke,허혈성 뇌졸중,뇌경색","허혈성 스트록","","허혈성 뇌졸중","Ischemic Stroke","허혈성 뇌졸중(Ischemic Stroke)은 혈전(thrombus) 또는 색전(embolus)에 의해 뇌혈류가 차단되어 발생하는 뇌졸중으로 전체 뇌졸중의 약 80%를 차지함.","편마비, 감각 저하, 실어증, 시야장애","뇌졸중","NIHSS|MMT|BBS","반사망치|검사자 손","신경학적 평가 시행","","","","NIHSS 점수 기반 중증도 분류","급성기 조기 재활 중요","바로누운자세(Supine)","Neurologic examination","조기 보행훈련|ROM 운동","급성기 안정→기능 회복","뇌졸중 평가","FAST 증상 확인"
Hemorrhagic stroke,"hemorrhagic stroke,출혈성 뇌졸중,뇌출혈","출혈성 스트록","","출혈성 뇌졸중","Hemorrhagic Stroke","출혈성 뇌졸중(Hemorrhagic Stroke)은 뇌혈관 파열로 인해 뇌 실질 내 출혈이 발생하는 질환으로 높은 사망률과 신경학적 손상이 동반될 수 있음.","의식 저하, 편마비, 심한 두통, 혈압 상승","뇌졸중","NIHSS|MMT","반사망치|검사자 손","신경학적 상태 평가","","","","의식 수준 및 NIHSS 기반 평가","급성기 혈압 관리 중요","바로누운자세(Supine)","Neurologic examination","ROM 운동|호흡운동","급성기 안정→기능 회복","급성기 뇌손상 평가","ICP 증가 징후 확인"
